Date,Rating,Title,Content,Pros,Cons
2012-05-19,4,"Great job, huge plating operation.","Unique experiencePlating Superintendent (Former Employee) - Greeneville, TN - May 19, 2012I enjoyed this electroplating operation. Being a three shift manufacturing, couple of times I had to be there for midnight shift that lasted couple of weeks. This is to trouble shoot and resolve plating issue.Good benefits.","good opportunity, great benefits",couple of midnight shift coverage required
2012-05-16,4,Nice place to work at.,"Systems Analysts II (Former Employee) - Chino, CA - May 16, 2012I started out as a Systems Analysts I and ended up a Systems Analysts II. I was the focal point for 3 Manufacturing Plants (Chino, CA, Torrance, CA & Vancouver Canada. My home plant was the Chino facility and I would goto Torrance every 6 weeks for 1 week and I would got the Vancouver Plant twice a year for 2 weeks. I took care of 450 end-users & 250 Workstations (mainly remotely using Remote Admin or Norton PC Anywhere). I liked going to work daily as this is what I love to do and the hardest part is when the Network would go down and I had a whole plant waiting for it to come up.",my own boss,working 12-15 hours sometimes.
2012-05-08,5,"Excellent place with great benefitsMaintainer (Former Employee) - Conroe, TX - May 8, 2012Very predictable schedules but they are revolving.",Very low turnover rate.,,
2012-05-06,5,"Ball CorporationLead - filled (Former Employee) - Delran, NJ - May 6, 2012Excellent Company!.",".good wages, good benefits.Management listens to ground floor employees and uses theyre ideas. worked for them 7 years, was best job i ever had","management, wages, benefits",long hours
2012-04-11,3,"Manufacturing is a up and down worldAccounting Specialist (Former Employee) - Monticello, IN - April 11, 2012As time changes so does the manufacturing business.",Fast paced and ever changing on a dime. Being prepared for anything is key.,,
2012-03-08,3,"Enjoy my co workers and the work I doAccounts Payable Clerk, Temporary (Current Employee) - Westminster, CO - March 8, 2012With any job there are things you would change if you could.","I enjoy my work and the people I work with. I love being busy... and I AM in the AP Department. I have learned so much since working at Ball Corporation and hope to use what I've learned either with them, permanently or for a different company.","work out area, cafeteria",
2012-01-17,4,"Great pay and benifits, but too many hoursMaintenance Tech (Former Employee) - Oakdale, CA - January 17, 2012Great pay and benifits, but I was required to work 60 to 70 hours per week.",Days off were ffew and far between. I got burned out after 4 years and had to quit for health reasons.,"great wages and benifits, great co-workers","too many hours, too few days off"
2024-01-04,4,"Great Job, terrible bossesTeam Lead (Former Employee) - Verona, VA - January 4, 2024     Site was loud and dirty.","Hot in the summer and cold in the winter.  Like in most manufacturing, the job was mind-numbingly easy or back-breakingly hard, depending on the mood of the ancient equipment.  The pay, benefits, and hours make it the best job I've ever had.  That said, anyone earning a salary level pay was generally useless.  Managers, supervisors, and office people had a high turn-around.  Most came out of on the job training with little to no idea how to actually do their job.  Production Managers seem to have been hired based on their capacity to be a jerk.  Anyway this is all academic, since the site burned down.",,
2024-01-02,3,Could at least meet up to half of the hype.,"Production Technician (Current Employee) - Bowling Green, KY - January 2, 2024Very productive. Swing shifts aren’t fun. Hourly Pay is nice. Medical Benefits are completely terrible. Too much micro managing happening. In short it’s a job.",,
2023-12-29,3,Great money.,"Awful everything elseProduction Technician (Current Employee) - Pittston, PA - December 29, 2023This place pays substantially more than anyone else in the area. Almost 100% more in some roles. Lot of money.Unfortunately, they have not one of, but the very worst attendance policy I've ever seen. They do not care what you have going on outside work or unfortunate events you cannot control. They point you for everything and every offense. Once you reach half of your points allotted you cannot bid to any other role in the company. There is ZERO sick time and any call off is not paid and pointed for it. We've lost so many excellent employees over this awful system. Benefits are pretty cruddy comparative to the pay. The swing shift can be brutal. You rotate every 6 weeks and it's tough. This place is very hard if you're a parent. The money as I have stated is great but cannot see myself here long term.",,
2023-12-20,2,"Very stressful Lead Technician (Former Employee) - Canton, OH - December 20, 2023Management treats everyone like a number also very little support from management.",Lack of communication between the floor and management inability to manage change or improve processes,,
2023-12-17,4,"SafetyProduction Operator (Current Employee) - Whitby, WV - December 17, 2023Safety is really important for the company.","They have a development programs for their employees. Nice place to work, everyone is really gentle and always open to help.",,
2023-12-13,2,"Drama filledLead  (Former Employee) - Findlay, OH - December 13, 2023Great pay, great friends, horrible work schedule.","The place is filled with drama. No one is treated the same. Promotions are just whoever is the production manger’s buddy. The place cannot stick to and follow through with any one process. They have truly lost what had made them a great place to work. Management from the superintendent up to the plant manager feel they are above the rest of employees. They are out of touch and are unapproachable. Also seniority doesn’t mean squat. 20 years doesn’t mean nothing. But let’s give more to the new hires, like vacations. It’s all just a big headache there",,
2023-12-08,1,"Terrible peopleProduction Technician (Former Employee) - Golden, CO - December 8, 2023Management and HR are poor.",If your injured they say you were not injured and they do not accommodate your restriction. You have to be a brown noser in that company to get treated with respect. There is no open door policy. You get treated terrible if you take a concern in the workplace to higher ups,Pay,"Poor management, poor HR, lazy people you gotta pick up their slack"
2023-12-05,4,"Great People, Old ManagementSupply Specialist (Current Employee) - Westminster, CO - December 5, 2023Company overall is great, everyone is super helpful and kind.",But they have the worst software I've seen from a company their size and the management neither has the will or an idea how to improve the experience.,,
2023-12-05,5,"Great placeGraphic Coordinator (Former Employee) - Phoenix, AZ - December 5, 2023Love love love Ball I would go work there if it was closer.",pay is to good to be true bennifits are great management is awesome production team is amazing,,
2023-11-10,3,"Decent Pay Production Mechanic (Current Employee) - Kent, WA - November 10, 2023Not a bad place to work.","Definitely not family oriented.  lots of overtime.  it is a union plant, I think it would be a much harder place to work with out it.",,
2023-11-01,4,"Good pay, and benefits Machine Operator (Current Employee) - Kent, WA - November 1, 2023Good pay and benefits 4 days on 4 days off for a goodbwork life balance.",overtime available most weeks. Room for advancement started as a temp and was promoted twice in 18 months.,,
2023-11-01,3,"Good payProduction Worker (Current Employee) - Kent, WA - November 1, 2023Good pay long hours 12 hour shifts 4 days off is nice and potential for overtime is good.",Very loud and can be very hot or cold depending on the season.,,
2023-10-31,4,"A good jobProduction Technician (Former Employee) - Monticello, IN - October 31, 2023Pays well and the work is not bad.",It's a 12 hour shift which rotates from days to nights every 9 weeks. 4 on 4 off.,,
2023-10-13,3,"Long days hard work Production Technician (Current Employee) - Golden, CO - October 13, 2023They expect you to stay busy moving all day.",Standing still even for a second will get you in trouble you're only aloud to leave the property once a day on your many breaks no smoking on property or in your car so if you're a smoker good luck,,
2023-10-13,1,Just a job.,"Line Technician (Current Employee) - Chestnut Hill, TN - October 13, 2023What is the best part of working at the company?The money only. There's nothing good to say.What is the most stressful part about working at the company?The people in charge make poor decisions.What is the work environment and culture like at the company?Good old boy system. They don't care about you at all.What is a typical day like for you at the company?Don't know if they are laying off any day you go in.",,
2023-10-12,2,"Work your life awayMaintainer (Current Employee) - Monticello, IN - October 12, 2023Not so long ago it was a great place to work, not so much anymore.",". Management micro manages, HR has been running the place to the ground, They claim corporate is the cause",,
2023-10-04,3,"I liked my department (shipping), but I never would have stayed if I worked productionUtility Attendant (Former Employee) - Verona, VA - October 4, 2023Very HOT in the summer, freezing in the winter.",No climate control at all for shipping/recieving. I liked what I did and felt appreciated by all I worked with.,"Free food, clothes, Boots, gift cards regularly for safe work practices","Short breaks, only one 30 min lunch"
2023-09-28,5,,,,
2023-09-26,1,"Work place I have ever worked other than pay Material Handler (Former Employee) - Waddell, AZ - September 26, 2023What is the best part of working at the company?Nothing this place was a trash just like management and the workers  o ly hood thing is the pay that’s it What is the most stressful part about working at the company?Workers being lazy getting drunk on the job no management this place is terrible What is the work environment and culture like at the company?Like any other  place ot any other wearhouse What is a typical day like for you at the company?Sometimes you do nothing  but other employees just be lazy and Realy don’t do anythingWas this review helpful?YesThere are 1 helpful reviews1NoThere are 1 unhelpful reviews1Official response from Ball CorporationNovember 20, 2023We'll be reviewing your comments and using them to measure improvements to our workplace culture and practices.",We're committed to being a great place to work for all of our employees. Wishing you the best in your future endeavors!,,
2023-09-21,2,"Miserable place to work Production Technician (Current Employee) - Golden, CO - September 21, 2023The hardest thing is deal with your coworkers.",Management have their favorites ( yes guys). Minimum career advancement for minorities. Lead mechanics doesn't have lead skills. Miserable people.  you will see a lot of angry faces around the plant.,Decent salary,No option to advance your career
2023-09-11,5,Productive and fun place to workSr.,"Administrative Assistant, Tactical Solutions IAS (Former Employee) - Westminster - September 11, 2023Learned to be innovative as all ideas are welcomed by all. Critical thinking is encouraged and mindful sense of professionalism is very important to the Department of Defense",Diversity,Lunches were hard to enjoy
2023-09-06,1,"Worst environment N/A (Current Employee) - Kent, WA - September 6, 2023This place is entirely a safety hazard.",everything is slippery on the front end. Time management is key. Co workers will talk behind your back if you’re still trying to learn. They pretend to care about your training success. They will write you up if you get injured. You get a verbal warning for clocking out one minute early. But seen others leave 2 minutes early. You have 4 days off but goodluck if someone calls out you’ll get called in.,The pay is good,12 hour shift and you get only three breaks as if you’re working 8 hours.
2023-09-01,4,"Money is good, schedule is hectic Maintainer (Current Employee) - Tampa, FL - September 1, 20234 on 4 off is not guaranteed, wish shift rotations lasted longer than 4 weeks.",But the benefits are not terrible and have seen 6 figures 4 out of the 5 years I’ve been employed.,,
2023-08-30,2,"No Training, lack of moral, golden handcuffs  Production Technician (Former Employee) - Waddell, AZ - August 30, 2023What can I say the pay is good.",That is about it. this place sucks the energy out of you the moment you walk in the building. If you are new expect to know everything day one and if you are trained expect people to be rude and disrespectful.,,
2023-08-27,4,"Hard work good payOperator (Current Employee) - Arizona - August 27, 2023Manufacturing environment where indoor temps are always above 90 degrees.",On your feet all day for 12 hours straight. Overtime comes and goes. Some departments play favorites so good luck trying to get into those departments. They hire from outside instead of promoting from within. Pay could be better for the harsh work environment if you’re not used to it,,
2023-08-16,5,"Productive and room for advancementProcess Technician (Current Employee) - Goodyear, AZ - August 16, 2023I have been with the company for 26 years.",Ball has given myself and my family a great life!! The pay is excellent as well as the benefits! There is plenty of room for advancement with Ball,,
2023-08-16,2,"In my time it was a great jobPrefer not to say (Former Employee) - Fairfield, CA - August 16, 2023In my time it was a great job with people who enjoyed working there.","The plant ran great 3.8 to 4.0 mil per 12 hour shift. The people made the difference . Management was different , all mustangs who came up the ranks and knew how to make cans. Very supportive. The climate now is dis functional.",,
2023-08-14,3,Good pay and hard workMechanical Engineer (Former Employee) - St.,"Paul, MN - August 14, 2023Great place to work until the plant shut down.  Learned a lot, great career advancement.  Long hours and forced overtime.   Management fell apart when Rexam was bought out by Ball.",,
2023-08-11,2,They take everything you got till you have no more then you are nothing to them.,"Front end worker, Lead person, Production Supervisor, Maintenance Manager. (Former Employee) - Monticello, IN - August 11, 2023What is the best part of working at the company?The money and benefits are excellent. What is the most stressful part about working at the company?It is very fast paced. They work you to death and completely wear you out and then just let you go. I worked at least 70 hours a week and sometimes over 100 hours a week. They have no commitment to their employees, they use you up then just let you go.What is the work environment and culture like at the company?Fast paced, no mistakes or you are gone.  They take the life out of you and just let you go. It becomes your family because you are always there. I worked 30 to 35 days in a row 15 hour days and they have no loyalty to you after giving them all you got.What is a typical day like for you at the company?Starts with a meeting, then out on the floor in a 110 degree plant, on a cool day.  You sweat your butt off and a lot of people get over heated.",,
2023-08-01,3,"Rigid structure, employees are tools and numbers.","Maintainer (Former Employee) - Monticello, IN - August 1, 2023Very little room for advancement, pay structure does not reward employees who learn multiple positions and go extra mile. Pay is decent, especially for area but you will top out after a couple years regardless of performance. Overtime can be handled poorly and very little tolerance for missed time, points system is draconian.",,
2023-07-25,5,"Collaborative support, engaged management, and great benefits Talent Acquisition Partner (Current Employee) - Remote - July 25, 2023I have worked for Ball Corporation for over a year now.","During the day-to-day I have tasks to complete and projects that I have volunteered to take on.  I love my current role in the company because the management is supportive of the projects and day to day activities.  Everyone I have worked with collaborates very well and works together to achieve the end goal.  If I have to take time off, my coworkers and managers help with my workload when I am out.  The most enjoyable part of my role is working with the people.  The people here are absolutely gracious and welcoming.  I couldn't have asked for a better company to work for, and our team is amazing.","401K, Benefits, Management, positive environment",I cannot think of any.
2023-07-24,5,,,,
2023-07-12,5,"Ball inspector experienceBall Inspector (Former Employee) - Downers Grove, IL - July 12, 2023So I was a ball inspector and it wasn’t bad.","Occasionally a sweaty one on hot days in the factory, and trouble shooting on my knees to reach some of the settings was hard. With the help of other pushing in me I made it. Tough, rock hard place, but I’d do it again.",,
2023-07-05,5,"Productive and challenging Lead Technician (Current Employee) - Pittston, PA - July 5, 2023Great atmosphere .",Good pay at all levels. Positive energy with plenty of room for growth and promotions. It’s fast paced and requires team work. Benefits and vacation right at the start.,,
2023-07-05,5,"Being a part of something greaterHuman Resources Coordinator (Current Employee) - Westminster, CO - July 5, 2023I love working for Ball.","The people, including leadership, are kind, hardworking and down to earth. I love the mentality of continuous improvement and the solicitation of new ideas and collaboration. At Ball - we are making a difference in the environment and the circular economy. Really a source of pride for me. Say no to plastic!",,
2023-07-03,5,"Trustworthy companyHR Specialist (Current Employee) - Westminster, CO - July 3, 2023Working with Ball means surrounding yourself with a lot of skilled people, a lot of expertise, because it's a company that hires talent.","The salaries are good, as are the conditions.  In production, there are hours to be worked and, if you're serious, major advances within the company.  The culture of inclusion and diversity is very important.  With all the processes in place, you sometimes have to do a bit more than you're asked to, which can be exhausting.","culture, pay rates, career advancement","shedules, pressure"
2023-06-26,2,Good money.,"Mindless work. Stupidity runs rampant Production Technician (Former Employee) - Fairfield, CA - June 26, 2023You’ll work with a handful of people that care and 50 people that can’t be trusted to do even the simplest of tasks. The money is good, the schedule is awful and if you’re lucky, no one will try to start a machine with you in it. If you have a heartbeat, they’ll hire you .",,
2023-06-23,5,"Professional work environment Administrative Coordinator (Former Employee) - Golden, CO - June 23, 2023Management was very supportive, and the training was comprehensive.","Enjoyed working here, but office life was not for me. They take safety very seriously, which was great.",,
2023-06-21,5,"FineProduction Technician (Current Employee) - Conroe, TX - June 21, 2023So far The atmosphere is great and the workers are great management are nice and helpful.",Just ready for the hours and to get into the learning process.,,
2023-06-17,2,"Used to careNot saying now (Current Employee) - Colorado - June 17, 2023For a company who supposedly cares about their employees, the environment, social issues like inclusivity, it seems to me that the longer I work here the less they care about those things and more about the bottom dollar.","Yes, I realize this is a corporation, but when the top dogs tell the workers no bonuses yet they still get theirs? Seems to me they are just like the rest of them. Money first, employees last. Who keeps the place(s) running? It sure ain't them. I know for a fact that they have no idea how my job works. Great pay and benefits to feel less appreciated for than most jobs I've had. Sometimes money isn't worth it.",,
2023-03-20,4,"Good placeMaintainer (Current Employee) - Bowling Green, KY - March 20, 2023Good place to work.","Pay is good, insurance is high. New plant with some opportunity to make your mark. Always changing environment but team makes it more bare able.",,
2023-03-20,2,"Micro-Managing By & Dismissive Support From CorporateQuality Manager (Current Employee) - Verona, VA - March 20, 2023Though the team you work with at the plant level may be united & enjoyable to work with, the corporate/division culture is horrible.","At the Division level you are micro-managed, usually from afar.  It doesn't matter what your site-specific issues are, there is a Division plan you SHALL follow and that plan often detracts from activity at your site.At the corporate level, there seems to be so much concern with either litigation or tarnishing the Ball image that plants are rarely able to handle difficult employees the way they need to - handling personnel problems are mandated from Corporate.  On the flip side, rewarding good employees is undermined because working for Ball is ""about the experience, not the pay""...But when site managers know the pay is not good & the work environment is challenging, something about that has to go - it tends to be good employees.Compound these perspectives with the fact that Corporate & Division are often at odds - and give conflicting direction - and you can imagine the challenge of managing around THAT minefield.  We're often told to come to either for support, instead we tend to get more tasks by both.I strongly encourage you to ask the right questions about autonomy if you're applying for a management role at a Ball production facility.","Always handing out swag, A lot of lunches","Micro-managing at Division & Corporate level, Mediocre pay"
2023-03-16,2,"Management doesnt care about youMaintainer cans (Former Employee) - Several locations  - March 16, 2023High speed production, lots of stress.","Good hardworking employees see no appreciation, bad lazy ones never accountable. Only way to get fired is horseplay and attendance issues. Ridiculous amounts of OT and not enough personnel to help manage the bad days. Work life balance is non existent. Majority of the time you'll get forced to work on or multiples of your days off even if you love OT and rack up the hours to outrank the low men. GOOD LUCK PLANNING ANYTHING ON YOUR DAYS OFF. Management has no clue how retention works in relation to hiring property for such, people come and go mainly because of the schedule and environment. Main focus is production so training falls to the wayside unless a new hire shows out and puts themselves in the picture. Tons of advancement if your the buddy buddy type. Don't fall into the trap of compensation. You'll be happier in a M-F 9-5. Truly believe if changes aren't made and employees voices aren't heard that sustainability will be non existent in 10-20 years once the ol timers like me retire.",Good money good benefits mostly good coworkers,Support work life balance schedule
2023-03-14,1,"Terrible Technician (Current Employee) - Pittston, PA - March 14, 2023Front office doesn’t do anything for the floor they expect you to be a magician and always blame the people when there is holes in the process, as well as you have to ask for a blessing to make any adjustments on the machines from people up front that know nothing about the machines.","The culture isn’t what they sold us in the beginning and they run skeleton crews all the time and there is no accountability for anything, it’s like high school in there they spread rumors and don’t give the right people promotions in there unless you are a yes man.",,
2023-03-12,2,"Fast paced workplaceProduction Technician (Current Employee) - Warren County, KY - March 12, 2023If you enjoy a fast paced work place with the opportunity to learn by doing this is a great job.","There are a lot of skills you can learn while doing the job at hand and because it’s a new industry to the area you can learn some specific skills not needed at other places around. There are a few different jobs with in the production department that the managers move you around regularly to learn skills and keep your skills up. Being a new company to the area management relies strongly on corporate micromanaging, after a few years the company on a local level will be great, but at the moment it has a lot of oppurtunity to get better.","Pay, skills learned, retirement benefits","Schedule, management, health insurance could be better, not a lot of vacation time, opportunity for growth within the company is not avaliable"
2023-03-07,5,"professional environmentProduction Technician (Current Employee) - Golden, CO - March 7, 2023For an entry-level job you can't beat the pay.",If you take your job seriously and work really hard its not a matter of if but when you will get promoted. The rotating 12 hours shifts is one of my only complaints about this job.,,
2023-03-06,3,"Good and badMechanic  (Former Employee) - Phoenix, AZ - March 6, 2023Every job has its pros and cons but over the years the cons took over.",Pay and schedule were excellent and if you didn’t mind just punching a clock it was great. It provided me with things I should’ve had to work a lot harder for. I was happy to have been there for as long as I was.,,
2023-03-04,3,"Good experience overall, the HR Manager needs to retirePrefer not to say (Former Employee) - Middletown, NY - March 4, 2023What is the best part of working at the company?Interacting with the hourly workersWhat is the most stressful part about working at the company?Dealing with the HR Manager.",Unfortunately the HR Manager has no idea what she is doingWhat is the work environment and culture like at the company?Separated… you have the hourlies than you have the Front Office (Salaried)What is a typical day like for you at the company?A lot of interactions with everyone in the plant,,
2023-02-27,1,"Management is terribleProd tech (Former Employee) - Bowling Green, KY - February 27, 2023Management is clueless.",The ones that came from other companies try to act like they are going to change the Ball culture that has been around for decades,,
2023-02-27,4,"Good pay Bad Upper management Maintenance Mechanic (Current Employee) - Bowling Green, KY - February 27, 2023Ball is supposed to be 1 big company unless you're in bowling green ky.","The bowling green plant has a small handful of actual experienced ball management and the rest came from sun/Henkel. They don't care how the other plants that have been doing this successfully for decades are doing it only how the Henkel people want to do it. It didn't work out there and it's obviously not working here. Production Technicians are supposed to be just that technicians. Some are but there are some that do everything to avoid actually doing any work and pawn it off on skilled trades. ""Maintenance"" is supposed to do the rebuilding and major repairs but since upper management is from a multicraft background they end up doing a whole lot of stuff they're paying Production Technicians to do. Hr doesn't ever have any answers to your questions. It's always a call to corporate for the answer. Pay is great insurance is the worst in bowling green ky",Great pay,Insurance is High
2023-02-21,2,Ball is a toxic place to work that only retains employees who feel they have no choice but to stay for the pay despite how miserable they are.,"Quality Assurance Inspector (Former Employee) - Golden, CO - February 21, 2023What is the best part of working at the company?They pay well and have good benefits because no one would work there if they didn’t.What is the most stressful part about working at the company?They put a lot of pressure on people. I had more work to do in 12 hours than was possible to get done without cheating things. I never finished everything and it always bothered me. I worked myself to the bone every day trying.What is the work environment and culture like at the company?Toxic. Very toxic. They only care about profit and have no care at all what they are doing to people. They have a very domineering approach to motivation and use threats to “motivate.” People only stay because they either can’t do anything else (qualifications), or they need the pay and insurance despite how miserable they are and they are just riding it out until they can retire.What is a typical day like for you at the company?Hit the ground running every shift and cross your fingers that you get a break. Be undermined at every turn. Very little instruction on how to do your job but lots and lots of condemnation for not knowing. And in my department, if you do your job right, you constantly create more work for yourself and cut out your own break time. Lots of physical pain from the conditions of working there but so much mandatory overtime that you can’t go to the doctor. Go home and have stress dreams about trying to get everything done while at work. It’s really hard on families and relationships.",,
2023-01-31,4,People are greatSpray operator (Current Employee) - St.,"Paul, MN - January 31, 2023Challenging work environment, coworkers are great. Management does not always listen to what we need. But overall the pay is good but the hours aren't that great if you have a family.",,
2023-01-05,5,"Great pay, long hours, rotating shift.","Maintainer (Current Employee) - Monticello, IN - January 5, 2023My experience working at Ball for a year has been pretty positive. There is enough overtime for you to make well over 100,000 a year. Enough driven employees that overtime is mostly taken up by volunteers but on occasion you may have some mandatory overtime. The work environment can be laid back but also can feel overwhelming at times depending on how well production is running. The only downside to working at Ball is the day/night shift rotation every 3 months. It is hard to adjust to a normal life if you have a family but with 4 days on 4 days off it makes it tolerable. It is a comfortable job and pays more than most. I would definitely recommend it to anyone considering working here.","Pay, benefits.",Day/night rotations.
2022-12-25,5,Been a great company to work for.,"Production Supervisor (Current Employee) - Fairfield, CA - December 25, 2022Over 20+ years at Ball. Hourly folks get paid a fare wage. Once you go salary though the pay is low and you bank on a good bonus check. Those are inconsistent and go off a company multiplier number to make up wage loss",,
2022-12-09,3,Upper management so bad.,"Pay and coworkers a plusProduction Technician (Current Employee) - Bowling Green, KY - December 9, 2022Upper management has no clue, never see managers on floor, no people skills, communication emails or nothing. Co-workers and Pay a plus workplace culture good minus management.",,
2022-12-07,3,"Good place to workMaintainer (Current Employee) - Fort Worth, TX - December 7, 2022Management is generally clueless about manufacturing process solutions.","No employee best practices training or SMED driven culture. Pay is decent, benefits are good.",,
2022-12-05,3,"Good pay, good schedule, bad leadership, bad insurance Industrial Electrical/Automation Technician (Current Employee) - Bowling Green, KY - December 5, 2022The management at the Bowling Green plan is terrible, they do not have people skills, or any experience running a plant.","They only communicate through emails and don't even try to learn your name. The job isnt hard, it's not hot, it's clean and the pay is good, the insurance is expensive and doesn't work at several offices.","Pay, time off","Insurance, management"
2022-11-30,2,"Pay good management badProduction Technician (Former Employee) - Pittston, PA - November 30, 2022If you wanna have no life work balance and swing shift from nights to days monthly then this place is where to work.",Management promotes friends and online gamer buddies to all the skilled positions and lead positions. Guys that had years of can making skills run machines while new guys who just seen a can plant get lead roles and hang out in the office with their manager buddies.,Pay. Benefits,Management is poor at best
2022-11-29,4,"More experienced management neededMechanic (Current Employee) - Kent, WA - November 29, 2022Management is generally clueless about manufacturing process solutions.","No employee best practices training or SMED driven culture. Pay is decent, benefits are good.",Pay is decent,Corporate Drone Driven
2022-11-16,1.01,,,,
2022-11-06,3,"Employees make it worth the stay Utility Worker (Former Employee) - Columbus, OH - November 6, 2022Management out of line, high turnover rate.",Extremely hot not designed properly! Leadership is terrible but pays decent. Decently clean for a factory.,,
2022-10-26,3,Great pay.,"Long hours. Plant run lean. Production Technician (Current Employee) - Saratoga Springs, NY - October 26, 2022Great pay for the work. One of the best around. Lots of overtime available. Long tiring shifts however. Switching schedules every month.  Progression is limited.",,
2022-10-26,3,"Great pay Lead Quality Technician (Former Employee) - Rome, GA - October 26, 2022Great pay and benefits, too much forced overtime, no work and personal life balance.",Management doesn't know or care about floor employees. Barely know your name or who you are from a personal standpoint,Pay,No work and personal life balance. Swing shifts
2022-10-24,5,"Fast paced, high speed production Front end maintenance  (Current Employee) - Monticello, IN - October 24, 2022Great place to work.","12 hour shift, all the OT you could ever want. Can be stressful at times, if hard work scares you don’t apply here. Great people work here. I’ve been here 15 years.",,
2022-10-19,1,Just work and breathe soluble oil in your lungs all day.,"Front End Technician (Former Employee) - Pittston, PA - October 19, 2022Work on problems with different machines, I learned to think for myself and leave. Management will say that is a good question and say ""I'll get back to you."" Never will and if you ask they will say (some of them) still looking into it months later. Swing shift is not family friendly. Points for being sick, Points for everything, your expected to act and be a machine ( Machines do break) all the time. No excuses, have a heart attack and still get points. LOL I loved working with my crew we got things done and the other crews stuff done. Always ahead for Ball. To bad they didn't see that.","Money, People were pretty cool","Points, Can't take advice from an employee that has worked at big companies and did lean manufacturing, 5S, DMAICS ect. Can't take advice of experienced People."
2022-10-17,1,,,,
2022-10-17,3,"fun fun funMaintainer (Current Employee) - Monticello, IN - October 17, 2022fun fun fun chill days, busy days.","fast pace, slow pace. micro manged days, chill nights. 4 on 4 off long hours. 3 break per day two twenty min 1 30 min lunch",,
2022-10-13,5,"Great Culture!!!Production Worker (Current Employee) - Pittston, PA - October 13, 2022Great working here! You are actually treated liked a human being.",Not just a job but a career. Plenty of opportunities for growth and an excellent retirement plan and benefit package.,,
2022-10-08,4.04,,,,
2022-10-01,2,Good pay.,"Maintainer (Current Employee) - Waddell, AZ - October 1, 2022Great pay management openly does not care. You will be just a number here. Like I said the pay is good but you rotate from days to nights and vise versa, every 4 weeks. Lots of overtime if you want it.",,
2022-09-28,2,Poor FP&A Leadership! Sr.,"Financial Analyst (Former Employee) - Westminster, CO - September 28, 2022Ball does not support it's employees in workplace development. The Directors will pile a lot of work on one person just to see you fail, if they don't like you. It's a horrible place to work, if you are in FP&A or Financial Systems, run! HR, also doesn't care if you talked to them about your work situation. Very poor care and support for it's employees.",,
