advice,cons,countHelpful,countNotHelpful,date,Date,employmentStatus,id,isAnonymousEmployee,isCurrentEmployee,isLegal,jobEndingYear,jobTitle,lengthOfEmployment,location,pros,ratings/0/rating,ratings/0/title,ratings/1/rating,ratings/1/title,ratings/2/rating,ratings/2/title,ratings/3/rating,ratings/3/title,ratings/4/rating,ratings/4/title,ratings/5/rating,ratings/5/title,ratings/6/rating,ratings/6/title,reviews/0/isOK,reviews/0/title,reviews/1/isOK,reviews/1/title,reviews/2/isOK,reviews/2/title,title,type,url
,No cons that I can think of,0,0,2022-03-16T04:21:11.897,2022-03-16,REGULAR,61264516,FALSE,TRUE,TRUE,,Manager,0,"Denver, CO",Job opportunities are very plentiful,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW61264516.htm
,Lot of change and movement. Could be more flexible on hybrid schedule,0,0,2022-02-14T08:42:52.787,2022-02-14,REGULAR,59638160,TRUE,TRUE,TRUE,,,0,"Broomfield, CO",Good benefits and pay. Really good employees,3,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,5,Career Opportunities,4,Compensation and Benefits,,Recommend,TRUE,CEO Approval,,Business Outlook,Good benefits and pay,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59638160.htm
,Salary not according to the cost of life,0,0,2022-02-02T18:43:45.830,2022-02-02,REGULAR,59007547,FALSE,TRUE,TRUE,,Manufacturing Process Engineer Leader,2,"Colorado Springs, CO","Great Benefits, Travel to other plants, Purchase stock plan, lot of opportunities to growth, good environment.",4,Work/Life Balance,5,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Excellent Company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59007547.htm
Get to know the people and listen to them. Stop trying to bully and intimidate the employees.,The management from the top down are clueless,0,0,2022-05-14T13:23:01.453,2022-05-14,REGULAR,64138115,FALSE,TRUE,TRUE,,Electrician,20,"Rome, GA",The people on the floor are good people to work with,0,Work/Life Balance,2,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Life in the ET department,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW64138115.htm
There should be a grey area for attendance when something happens medically to an employee.,"Point system, zero grey area
Some in management don't care.",0,0,2021-12-17T00:19:31.657,2021-12-17,REGULAR,56798555,FALSE,TRUE,TRUE,,Production Technician,2,"Pittston, PA","Great pay
Easy Job
Some in management genuinely care",4,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,4,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW56798555.htm
,I have nothing to comment.,0,0,2022-01-29T09:26:34.197,2022-01-29,REGULAR,58756479,FALSE,TRUE,TRUE,,Production Technician,2,"Glendale, AZ",Great organization for motivated individuals.,1,Work/Life Balance,5,Overall,3,Culture & Values,5,Diversity & Inclusion,2,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Production Tech,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW58756479.htm
"stop the switching, pay 3rd shift more to stay on 3rd and pay 1st shift less but have better hours",switching from days to nights and back to days every month is hard on mind and body.,0,0,2021-10-09T11:10:16.187,2021-10-09,REGULAR,53760313,FALSE,FALSE,TRUE,2019,Production Technician,0,"Golden, CO","Good pay, 4 on 4 off, rotating days/night. 6am-6pm, next month 6pm -6am
overtime available usually not required",0,Work/Life Balance,5,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good job,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW53760313.htm
"To actually listen to the employees, to align their values with their everyday behaviors, to be congruent, to actually design a strategy for diversity and inclusion.",#NAME?,0,0,2022-01-08T15:31:42.650,2022-01-08,REGULAR,57614720,FALSE,FALSE,TRUE,2020,Human Resources Coordinator,2,"Broomfield, CO",#NAME?,1,Work/Life Balance,2,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,FALSE,Business Outlook,I would not recommend it!,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW57614720.htm
Add or contract out an IT person at each plant.,Not having an IT person on site.,0,0,2021-12-06T12:54:27.590,2021-12-06,REGULAR,56303251,FALSE,FALSE,TRUE,2017,Controller,4,"Longview, TX",Compensation package w/ bonus. Good working relationships with corporate and plant level.,4,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW56303251.htm
Get out of the office.,Production management doesn't know anything about the operation yet makes the decision on what should and shouldn't be done. They are more concerned with just making a can and hitting the start up numbers than actually fixing issues for future success.,0,0,2022-02-06T19:07:21.167,2022-02-06,REGULAR,59205576,FALSE,TRUE,TRUE,,Production Technician,2,"Pittston, PA","Pension
Stock buy
401k 
3 on 3 off",3,Work/Life Balance,2,Overall,3,Culture & Values,3,Diversity & Inclusion,1,Senior Management,5,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,,Business Outlook,Company as a whole is good. Pittston plant has a long way to go.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59205576.htm
,12 hour shifts are brutal,0,0,2023-09-18T21:23:04.053,2023-09-18,REGULAR,80191533,FALSE,FALSE,TRUE,2019,Maintainer,9,"Springdale, AR",The pay is among the highest in the area,3,Work/Life Balance,4,Overall,3,Culture & Values,2,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Long hours uncomfortable environment,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW80191533.htm
Nothing to share at this time.,#NAME?,0,0,2023-08-06T16:35:54.153,2023-08-06,REGULAR,78905324,FALSE,TRUE,TRUE,,IT Architecture,4,"Westminster, CO",#NAME?,4,Work/Life Balance,5,Overall,4,Culture & Values,3,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Benefits - A Company That Cares,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78905324.htm
,"Hot ,very fast passed! Sometimes quadruple tasking gets pretty hectic fast. Month of nights then month of days all year, schedule can be rough on home life.",0,0,2023-07-29T01:24:33.717,2023-07-29,REGULAR,78675576,FALSE,TRUE,TRUE,,Production Tech,0,"Goodyear, AZ","Pays well,plenty of O.T. yearly bonus match up to 3% of stock and 401k vision, dental, health opportunity to grow.",1,Work/Life Balance,4,Overall,2,Culture & Values,3,Diversity & Inclusion,3,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Not bad,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78675576.htm
,Easy to be married to work.,1,0,2023-08-25T11:25:50.970,2023-08-25,REGULAR,79486460,FALSE,FALSE,TRUE,2023,Production Supervisor,0,"Waddell, AZ",Reliable and company will take care of you!,3,Work/Life Balance,5,Overall,4,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Great company to work for!,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW79486460.htm
Should have kept prior finance VP,Too big to change and improve,0,0,2023-08-21T01:53:35.183,2023-08-21,REGULAR,79321258,FALSE,TRUE,TRUE,,Regional Finance Manager,20,"Los Angeles, CA",Great company to build career,4,Work/Life Balance,5,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,5,Career Opportunities,3,Compensation and Benefits,TRUE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Great place to build career,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW79321258.htm
Work culture stinks.,Hard to work with this people. A lot of racism and discrimination to minorities,0,0,2023-09-21T21:51:24.963,2023-09-21,REGULAR,80307787,FALSE,TRUE,TRUE,,Production Technician,4,"Golden, CO","Good salary, good benefits, 401k",1,Work/Life Balance,1,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Work environment sucks,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW80307787.htm
Better communication. Hire more production crew.,Skeleton crew. Forced overtime. Bad communication with management. Poor building ventilation.,0,0,2023-07-11T20:20:35.563,2023-07-11,REGULAR,78168876,FALSE,FALSE,TRUE,2023,Production Operator,9,"Saint Paul, MN",Great pay. 1.5x pay after each 8-hour shift in a 12-hour work day. Better pay structure if working OT.,2,Work/Life Balance,2,Overall,2,Culture & Values,5,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Equipment &amp; machine operator,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78168876.htm
,"Four 12 hour shifts, last day of rotation is rough",0,0,2023-07-28T05:12:12.343,2023-07-28,REGULAR,78653356,FALSE,FALSE,TRUE,2023,Production Technician,2,"Glendale, AZ",Great Coworkers Pay benefits Clean working enviroment,0,Work/Life Balance,5,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Coworkers,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78653356.htm
,"Antiquated systems, tough sales outlook loosing Russian business and on the back side of COVID",0,0,2023-07-09T05:23:55.863,2023-07-09,REGULAR,78082540,FALSE,FALSE,TRUE,2023,Category Manager,0,"Westminster, CO","Great people, opportunities for advancement",5,Work/Life Balance,4,Overall,4,Culture & Values,3,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,FALSE,Business Outlook,Good company tough current business outlook,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78082540.htm
,"Shift work, days to night every four weeks",0,0,2023-07-20T16:33:29.340,2023-07-20,REGULAR,78443774,FALSE,FALSE,TRUE,2022,Electronics Technician,0,"Tampa, FL","Good pay, ok benefits fast pace",2,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,3,Senior Management,5,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Ok place,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW78443774.htm
,not sure about this really,0,0,2022-03-01T10:30:35.127,2022-03-01,REGULAR,60467545,FALSE,TRUE,TRUE,,Technical Support Specialist,0,"Coralville, IA",Great stuff to work there,0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,test,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW60467545.htm
Put a/c in the building,Hot in the summer 104 in the building. Crazy hours. Forced overtime,0,0,2021-09-03T15:17:47.720,2021-09-03,REGULAR,52070006,TRUE,TRUE,TRUE,,,6,"Williamsburg, VA",Good pay for the area,1,Work/Life Balance,4,Overall,2,Culture & Values,5,Diversity & Inclusion,3,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Hot in the summer,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW52070006.htm
,Hours are bad and overtime is excessive,0,0,2022-02-05T18:36:52.903,2022-02-05,REGULAR,59169349,FALSE,TRUE,TRUE,,Printer Operator,6,"Saint Paul, MN",Pay is good and benefits are decent,1,Work/Life Balance,3,Overall,2,Culture & Values,2,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Ball saint paul,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59169349.htm
,"Understaffed for 4 years., constant forced overtime",0,0,2022-02-04T09:51:03.623,2022-02-04,REGULAR,59112925,TRUE,FALSE,TRUE,2021,,4,"Fort Worth, TX","Good money, good corporate policies",1,Work/Life Balance,3,Overall,3,Culture & Values,3,Diversity & Inclusion,1,Senior Management,4,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good money,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59112925.htm
,Not really much to say. Long days are kinda rough sometimes,0,0,2021-08-17T06:53:37.643,2021-08-17,REGULAR,51230479,TRUE,TRUE,TRUE,,,0,"Toledo, OH",Great pay. Lots of time off.,0,Work/Life Balance,5,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW51230479.htm
,"good benefits, good pay, vacations",0,0,2021-08-28T07:47:52.543,2021-08-28,REGULAR,51766349,FALSE,TRUE,TRUE,,Mecanic,6,"Phoenix, AZ","little hot inside, dark noisy",5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,5,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,good place,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW51766349.htm
,Management is very difficult to work with. It's more about who you know not what you know.,1,0,2021-07-14T17:17:18.247,2021-07-14,REGULAR,49783321,FALSE,TRUE,TRUE,,CPM,9,"Golden, CO","Pay, schedule, vacation, bonus, pension plan",2,Work/Life Balance,4,Overall,2,Culture & Values,3,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,4,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,It's okay,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW49783321.htm
,Hot on the production. Floor,0,0,2021-08-19T10:29:19.687,2021-08-19,REGULAR,51351264,FALSE,TRUE,TRUE,,Supervisor,0,"Fremont, OH",Motivated work force at plant,0,Work/Life Balance,5,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Good place,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW51351264.htm
,Alternating night and day schedule,1,0,2021-07-13T19:28:58.853,2021-07-13,REGULAR,49728941,FALSE,TRUE,TRUE,,Production Technician,0,"Golden, CO","Good pay, good benefits, rewarding",0,Work/Life Balance,4,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Pretty good,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW49728941.htm
Acknowledge and understand work/life balance is importan,Zero work/life balance culture if intimidation and threats rampant cronyism,0,0,2021-10-19T15:51:16.020,2021-10-19,REGULAR,54214139,FALSE,FALSE,TRUE,2021,Conversion Press Maintainer,20,"Golden, CO",Hourly wage and pension plan,1,Work/Life Balance,2,Overall,1,Culture & Values,3,Diversity & Inclusion,1,Senior Management,4,Career Opportunities,5,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Used to be great,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW54214139.htm
,80% of Balls workforce is going to retire in the next 10 years. If you are under the age of 35 this place is not for you. Incredible old and outdated practices. The recruiter will tell you everyone always has a smile on their face. This is completely false. There are way better places to work in Colorado.,6,0,2015-10-29T13:58:02.523,2015-10-29,REGULAR,8477756,TRUE,FALSE,TRUE,2015,,4,"Broomfield, CO",Pay is good. Usually higher than national average. Some good people work here (very few),2,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Run....,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW8477756.htm
Get back to your roots,Certain VP’s pride themselves for under paying employees to keep costs low.,4,0,2018-04-28T21:23:43.637,2018-04-28,REGULAR,20352127,TRUE,TRUE,TRUE,,,20,"Broomfield, CO",Most people are good to work with.,2,Work/Life Balance,3,Overall,2,Culture & Values,0,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,3,Compensation and Benefits,,Recommend,,CEO Approval,TRUE,Business Outlook,Depends what department you work in and who your manager is.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW20352127.htm
"Get off your high horse, and stop being so arrogant! You are not the only company hiring! Keep up this nonsense and you won’t be around very long, corporate will shut you down!","Need to be a man to advance! Horrible management and HR. Have to be an butt kisser to move up, and they promote the lazy! Management doesn’t like to hear your problems, and won’t take care of the bad seeds!",0,0,2020-01-09T21:29:54.137,2020-01-09,REGULAR,31217624,TRUE,TRUE,TRUE,,,9,"Fort Atkinson, WI","Pay, ESSP, nothing else here",1,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,2,Compensation and Benefits,,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Anonymous,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW31217624.htm
Keep driving the company and you all will do great things.,Just having to work nights but not really sure that's really that big of a deal.,0,0,2016-06-11T17:37:20.313,2016-06-11,REGULAR,10893364,FALSE,FALSE,TRUE,2012,Electronics Technician,4,"Torrance, CA","Free Medical, 3.5 hours of OT each day and Profit sharing each quarter.",4,Work/Life Balance,5,Overall,4,Culture & Values,0,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Working,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW10893364.htm
Pay is good for grueling manual labor. But if you’re not in shape this is not the job for you.,"Benefits, Management and how tough the job actually is. Machines are always broken",0,0,2019-10-01T06:55:51.243,2019-10-01,REGULAR,29550429,FALSE,FALSE,TRUE,2017,Coater Utility,0,"Columbus, OH","Pay, 4x4 schedule, working with others",3,Work/Life Balance,4,Overall,2,Culture & Values,0,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,,CEO Approval,FALSE,Business Outlook,Tough Manual Labor,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW29550429.htm
"Get a new ERP system,  replace top Accounting employees with more experienced personnel. Arrange month-end around holidays.",Working on holidays. Substandard ERP system for size of company,0,0,2020-10-05T08:02:42.327,2020-10-05,REGULAR,36723577,FALSE,FALSE,TRUE,2019,Finance Manager,4,"Kent, WA",Average company with good bonuses and benefits,2,Work/Life Balance,3,Overall,3,Culture & Values,3,Diversity & Inclusion,2,Senior Management,2,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,,Business Outlook,"Stable company, needs more experience in top positions",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW36723577.htm
Nothing to speak of.,Worked with many high tenure people whom di not understand my roll in the military.,0,0,2014-09-30T14:47:54.317,2014-09-30,REGULAR,5073566,FALSE,FALSE,TRUE,2013,Production Tech,2,"Golden, CO","Gave me a good opportunity to transition from active duty Air Force,, great leadership and company values",0,Work/Life Balance,5,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,FALSE,Recommend,,CEO Approval,,Business Outlook,Great learning experience.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW5073566.htm
Allow women to be both General Supervisors and Production Supervisors. Give them equal training and equal opportunities as you do the men.,"Diversity is a lie because there is no equality. No production leadership, no training and no higher paying jobs for women. They want the few women in can plant production to keep their mouths shut.",6,0,2017-04-17T07:06:32.763,2017-04-17,,14656807,FALSE,TRUE,TRUE,,Operator,20,"Arvada, CO","Decent Benefits,  with decent pay.",1,Work/Life Balance,1,Overall,1,Culture & Values,0,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Ball-A paradise for men.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW14656807.htm
Salaries at the top too high while lower level can barely get a 2.5% raise.,Focus is on the shareholders not employees,2,0,2018-08-24T06:05:44.270,2018-08-24,REGULAR,22139908,FALSE,FALSE,TRUE,2014,Administration,20,"Broomfield, CO",Pleasant work environment and cooperation among departments.,4,Work/Life Balance,2,Overall,2,Culture & Values,0,Diversity & Inclusion,1,Senior Management,2,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Completely lost the original vision for the company.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW22139908.htm
Thanks for all opportunities you created for me to grow and a person and professional.,The company got acquired by the competitors.,0,0,2021-04-20T08:30:38.737,2021-04-20,REGULAR,45781537,FALSE,FALSE,TRUE,2017,Technical Lead,6,"Chicago, IL",Great company with a lot of opportunities to grow as a person and professional.,5,Work/Life Balance,5,Overall,5,Culture & Values,5,Diversity & Inclusion,5,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,TRUE,CEO Approval,TRUE,Business Outlook,Great Company,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW45781537.htm
Communication Communication Communication,Schedule can be demanding. Manufacturing is always iffy for long term.,0,0,2022-08-13T06:14:59.630,2022-08-13,REGULAR,67871377,FALSE,TRUE,TRUE,,Production Supervisor,9,"Saint Paul, MN",Pay is above average. Schedule great for traveling,1,Work/Life Balance,3,Overall,3,Culture & Values,3,Diversity & Inclusion,1,Senior Management,3,Career Opportunities,4,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,"Fast paced, demanding but good pay",review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW67871377.htm
,I don’t have any cons,0,0,2022-08-26T19:13:55.727,2022-08-26,REGULAR,68400664,TRUE,FALSE,TRUE,2018,,2,"Kent, WA",Good paying job for you,2,Work/Life Balance,5,Overall,3,Culture & Values,3,Diversity & Inclusion,2,Senior Management,3,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,,Business Outlook,Was laid off due to low production,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW68400664.htm
Don't buy everything customers tell you,"Poor leadership
Lack of Direction
Poor Planning
Poor Accountability
Politics",0,0,2022-08-24T14:32:02.977,2022-08-24,REGULAR,68305864,FALSE,TRUE,TRUE,,Supply Chain Manager,0,"Broomfield, CO","Good People
Attractive Product
Corporate Location
Travel
office",0,Work/Life Balance,3,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,,Recommend,FALSE,CEO Approval,,Business Outlook,Leadership,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW68305864.htm
Get to know the people and listen to them. Stop trying to bully and intimidate the employees.,The management from the top down are clueless,0,0,2022-05-14T13:23:01.453,2022-05-14,REGULAR,64138115,FALSE,TRUE,TRUE,,Electrician,20,"Rome, GA",The people on the floor are good people to work with,0,Work/Life Balance,2,Overall,0,Culture & Values,0,Diversity & Inclusion,0,Senior Management,0,Career Opportunities,0,Compensation and Benefits,FALSE,Recommend,FALSE,CEO Approval,FALSE,Business Outlook,Life in the ET department,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW64138115.htm
,Very Hot in the summer.,0,0,2022-07-06T19:35:26.263,2022-07-06,REGULAR,66387569,FALSE,TRUE,TRUE,,Maintainer,0,"Williamsburg, VA",4 days off is nice.,4,Work/Life Balance,4,Overall,4,Culture & Values,4,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,4,Compensation and Benefits,,Recommend,,CEO Approval,,Business Outlook,Maintainer pay,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW66387569.htm
Get rid of the dated swing shift. I don't know why it's a industry standard for most metal packaging but it honestly seems hypocritical for a company to say it cares about it's employees and maintain such an archaic schedule.,"Swing shift takes YEARS off your life.
Like any other factory/work place, it's a bit n' pony show.",0,0,2022-03-08T21:32:00.867,2022-03-08,REGULAR,60833822,FALSE,TRUE,TRUE,,Production Technician,2,"Findlay, OH","Great pay and benefits.
Lots of communication from management.",1,Work/Life Balance,4,Overall,3,Culture & Values,3,Diversity & Inclusion,4,Senior Management,4,Career Opportunities,5,Compensation and Benefits,TRUE,Recommend,,CEO Approval,TRUE,Business Outlook,Mandatory Swing Shift,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW60833822.htm
"To actually listen to the employees, to align their values with their everyday behaviors, to be congruent, to actually design a strategy for diversity and inclusion.",#NAME?,0,0,2022-01-08T15:31:42.650,2022-01-08,REGULAR,57614720,FALSE,FALSE,TRUE,2020,Human Resources Coordinator,2,"Broomfield, CO",#NAME?,1,Work/Life Balance,2,Overall,1,Culture & Values,1,Diversity & Inclusion,1,Senior Management,1,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,FALSE,Business Outlook,I would not recommend it!,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW57614720.htm
Get out of the office.,Production management doesn't know anything about the operation yet makes the decision on what should and shouldn't be done. They are more concerned with just making a can and hitting the start up numbers than actually fixing issues for future success.,0,0,2022-02-06T19:07:21.167,2022-02-06,REGULAR,59205576,FALSE,TRUE,TRUE,,Production Technician,2,"Pittston, PA","Pension
Stock buy
401k 
3 on 3 off",3,Work/Life Balance,2,Overall,3,Culture & Values,3,Diversity & Inclusion,1,Senior Management,5,Career Opportunities,3,Compensation and Benefits,FALSE,Recommend,TRUE,CEO Approval,,Business Outlook,Company as a whole is good. Pittston plant has a long way to go.,review,https://www.glassdoor.com/Reviews/Employee-Review-Ball-Corporation-US-RVW59205576.htm
